,TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.0,150.100811842,473.016202941,-2.07405824869,-4.22058875129,0.5,154.240869076,472.661396383,-1.99335537863,-4.21367244412,0.0,0.00651079413887,-0.00578835494173,0.490039761308,0.0,0.153226782466,-0.0493270769451,0.0,0.0,0.0,0.00108003733332
1,0.03,150.100811842,473.016202941,-2.07405824869,-4.22058875129,0.5,154.322130822,472.646726528,-1.99177132901,-4.21338648202,0.0,0.00688638886471,-0.00595906557071,0.49004809966,0.0,0.153221605996,-0.0493254694135,0.0,0.0,0.0,0.00105444740725
2,0.06,150.100811842,473.016202941,-2.07405824869,-4.22058875129,0.5,154.391613239,472.635079931,-1.99041689593,-4.21315945285,0.0,0.000473632461752,-0.00047783077606,0.490120345171,0.0,0.130167240019,-0.043714518099,0.0,0.0,0.0,0.00514513763581
3,0.06,150.100811842,473.016202941,-2.07405824869,-4.22058875129,0.5,154.459673232,472.60744789,-1.9890901904,-4.21262081656,0.0,-0.0043544926792,0.0042515547497,0.490302883339,0.0,0.142418470325,-0.0149549113741,0.0,0.0,0.0,0.0191623204199
4,0.09,150.100811842,473.016202941,-2.07405824869,-4.22058875129,0.5,154.527619413,472.565857118,-1.98776570344,-4.21181008028,0.0,-0.00729432846677,0.00795285458928,0.490491407261,0.0,0.155038806837,0.00913337983523,0.0,0.0,0.0,0.0206446593529
5,0.1,150.100811842,473.016202941,-2.07405824869,-4.22058875129,0.5,154.59584971,472.5106693,-1.98643567816,-4.21073429436,0.0,-0.00785782925581,0.0103096183115,0.490654922033,0.0,0.168017053455,0.0322350315546,0.0,0.0,0.0,0.016863339562
6,0.13,150.100811842,473.016202941,-2.07405824869,-4.22058875129,0.5,154.664393757,472.446354132,-1.98509953691,-4.20948058737,0.0,-0.00609851567728,0.0113301124393,0.490780658501,0.0,0.176944997564,0.0476233737499,0.0,0.0,0.0,0.0106669318655
7,0.14,150.100811842,473.016202941,-2.07405824869,-4.22058875129,0.5,154.733201898,472.37687727,-1.98375824759,-4.20812626257,0.0,-0.00214516115801,0.0110758513201,0.490856915533,0.0,0.182147081704,0.0562442947278,0.0,0.0,0.0,0.00319333848709
8,0.16,150.100811842,473.016202941,-2.07405824869,-4.22058875129,0.5,154.802196821,472.304749068,-1.98241331733,-4.20672025474,0.0,0.00392126066817,0.00959060121456,0.490871606025,0.0,0.184909589261,0.0606281584935,0.0,0.0,0.0,-0.004803171255
9,0.18,150.100811842,473.016202941,-2.07405824869,-4.22058875129,0.5,154.906672367,472.2755486,-1.98037675697,-4.20615104484,0.0,0.000781527974889,0.000806757916088,0.491146729785,0.0,0.206479595336,-0.0458505422884,0.0,0.0,0.0,0.0291584690008
