,TIMESTAMP,ROS_TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_T_STEER,S_RC_T_LV_X,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z,S_RCS_FLW,S_RCS_FRW,S_RCS_BLW,S_RCS_BRW,S_RCS_BL,S_RPW,S_REN
0,0.0,66006000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.4597720553733,194.40730217891405,0.01870900692735479,1.2103839731205839,0.07076548911961153,0.4421296484668051,0.005556562052231745,3.052141106868955,-1.7,0.0,0.07962736478660773,-0.10930919609835739,-0.0317066470718853,-0.006846651136108403,-0.07858243689774996,-0.5988391675628694,False,True,True,False,False,25.55440902709961,1135.5572509765625
1,0.009,66015000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.48051204061954,194.4542634644507,0.01911329513878253,1.2094685484512535,0.070763716051963,0.44227349374998776,0.005342412942586534,3.045661770881289,-1.7,0.0,0.07594915961070041,-0.10602303334131737,-0.0323500050281393,0.01135142580881503,-0.08461433744613381,-0.6540511336173274,False,True,True,True,False,35.159942626953125,1135.9088134765625
2,0.018,66024000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.50143666687876,194.50069791963216,0.019521182590230016,1.2085633933794895,0.07077048723753462,0.4422881308601497,0.005344403645773752,3.0391439966934883,-1.7,0.0,0.07848038532506593,-0.10693473446337068,-0.03152257466367559,0.022305385672875683,-0.11388375621068617,-0.6258325074789685,False,True,True,True,False,27.918540954589844,1136.18798828125
3,0.03,66036000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.5377726233093,194.56260758559313,0.020229485834489906,1.2073565772788863,0.07051649244662467,0.44095931061083493,0.00529568659352508,3.031311570271397,-1.7,0.0,0.09407643636053759,-0.10665426924115684,-0.05921890882562546,0.16164206254335128,-0.11429341771393094,-0.5444986602733012,False,True,False,True,False,13.692768096923828,1136.324951171875
4,0.039,66045000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.582865349793,194.6086651835016,0.02110848635073972,1.2064587683527948,0.06982151264589603,0.4376895874830283,0.005125291979086872,3.0268942837896606,-1.7,0.0,0.12326448397546942,-0.10673388377913921,-0.09948680217870026,0.3525564212693674,-0.12699849505380853,-0.4153876386372871,False,True,False,True,False,13.545145034790039,1136.46044921875
5,0.048,66054000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.6359734698061,194.67845504178123,0.022143732354895,1.2050983422654735,0.07024178421711796,0.4391696356741715,0.007442694719398954,3.022796301024608,-1.7,0.0,0.07966076194241035,-0.11195579187746582,-0.056604583222122265,0.1114421268200686,-0.12761462837111662,-0.5620795679434065,False,True,True,False,False,57.31127166748047,1137.0335693359375
6,0.06,66066000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.66782977507285,194.73085290033984,0.022764712964382802,1.204076941513843,0.06979443379201383,0.43624451576748663,0.0070166426317319645,3.014839619094333,-1.7,0.0,0.06300840958452154,-0.10358403773609415,-0.09824418627517911,0.24385921931439458,-0.006322721927051592,-0.6521193825091631,False,True,False,False,False,13.53727912902832,1137.1689453125
7,0.069,66075000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.69525054411196,194.7773131428817,0.02329923087937609,1.2031712837644897,0.06876408299047854,0.4325208922359536,0.005414555210207851,3.0089132295751453,-1.7,0.0,0.06916420670433218,-0.12048323507624101,-0.13555824572523556,0.35278166010947914,0.09351574229423007,-0.6429684145298061,False,True,False,False,False,15.386134147644043,1137.32275390625
8,0.078,66084000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.73874324480545,194.82144610321558,0.024147041809073202,1.202310992140047,0.06736933726575328,0.42675285493393855,0.003895443441433503,3.0039285834684466,-1.7,0.0,0.12315802354987243,-0.06124517418956868,-0.19290088385757373,0.8195503877409567,-0.07406330006979031,-0.4632406300528519,False,True,False,True,False,5.269594192504883,1137.37548828125
9,0.09,66096000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.85828883671064,194.9375177546465,0.026477365238024353,1.2000483868489957,0.06756239042572679,0.4279249136778027,0.01006934969840889,2.999995823104544,-1.7,0.0,0.13686235817997697,-0.10916112644813146,-0.13885792185545923,0.4417256177623221,-0.26012163695530566,-0.3179795054653394,False,True,True,True,False,0.0,1137.37548828125
10,0.099,66105000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.90827259982984,194.98930040325706,0.027451707599022063,1.199038978494014,0.06927693454412559,0.43017095880676254,0.013797664459489944,2.9955004599575967,-1.7,0.0,0.08087588909010962,-0.024151903279824194,-0.10904150615280539,0.40446487357715155,-0.2551155679821397,-0.5729893588164519,False,True,False,False,False,11.080574989318848,1137.486328125
11,0.108,66114000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.9386242463557,194.99235803000823,0.028043357628764757,1.1989793756333675,0.06814671937393063,0.4240087814052356,0.01354226243550031,2.990234456618675,-1.7,0.0,0.07874595146619798,-0.04243002077160199,-0.1526770151983233,0.48520874144941617,-0.13846888769786997,-0.5457160892466857,False,True,False,False,False,13.837980270385742,1137.624755859375
12,0.12,66126000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,257.9862265713524,195.02864144958676,0.028971278194003976,1.198272096499283,0.06618493181744614,0.4162967332500732,0.012105677445270068,2.98386269059087,-1.7,0.0,0.09012962413126585,-0.0942284061758303,-0.1843029207126513,0.5493685888593336,0.008216484551846287,-0.49549874290663926,False,True,False,False,False,18.52210235595703,1137.8099365234375
13,0.129,66135000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,258.02749643822096,195.07441025268514,0.02977575902964867,1.1973799171016541,0.06447114086936306,0.40989155633797425,0.00979056646035184,2.9793762546848477,-1.7,0.0,0.10119356432278548,-0.1261508104550858,-0.20896034818734582,0.6352095558540738,0.10583975604982251,-0.473780674305575,False,True,False,False,False,18.235658645629883,1137.9923095703125
14,0.138,66144000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,258.9333208663966,195.41007128058828,0.047433155290382716,1.1908368171425285,0.09686743163758979,0.44411937801352463,0.1915823240745943,2.978340329547068,-1.7,0.0,0.043279925165898216,-0.13336411866235887,-0.10050712931240338,-0.06538635505031021,-0.19277658988647006,-0.48822246336257474,False,True,False,False,False,0.0607977956533432,1137.992919921875
15,0.15,66156000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,258.9414916336238,195.40776443514608,0.047592429505338,1.1908817848899402,0.09501995403560637,0.43365988388596166,0.18931294490359574,2.9700825548333913,-1.7,0.0,0.033259851337573934,-0.04128105346978789,-0.22016737282962873,0.4980151692667245,-0.12688922482210988,-0.5266198452910318,False,True,False,False,False,9.440645217895508,1138.0872802734375
16,0.159,66165000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,258.95880695174395,195.42529544903016,0.047929960072980574,1.190540049726508,0.09297811197164549,0.42696912642982787,0.1886026705391489,2.964108341593705,-1.7,0.0,0.04792762518451504,-0.06826585250754455,-0.2416924724553742,0.6028931694984347,-0.08691231352707116,-0.5166264164628247,False,True,False,False,False,20.38584327697754,1138.2911376953125
17,0.168,66174000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,258.98354163149963,195.46317114799197,0.048412117573092744,1.189801732007954,0.09090520253043965,0.41970126152806436,0.18717099375307658,2.9582395254423477,-1.7,0.0,0.06514504617394906,-0.1202546407532857,-0.24215175780866086,0.6439799709287193,-0.02539098806479144,-0.49036706696405125,False,True,False,False,False,22.63287925720215,1138.5174560546875
18,0.18,66186000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,259.02796164421216,195.54696818614028,0.049278004760470936,1.1881682614787472,0.08811472420974636,0.4091926485799894,0.18407663688223677,2.9506147310356785,-1.7,0.0,0.08588825888713186,-0.1794027071248347,-0.24981324768884977,0.7375875158987119,0.05971365530040865,-0.4621882789899048,False,True,False,False,False,20.492813110351562,1138.722412109375
19,0.189,66195000000,256.03728455570882,188.99063906984347,-0.009019794235695322,1.3159719479562675,0.5,259.06879153598186,195.6289018672523,0.050073909083466976,1.1865711136987858,0.08586325180914889,0.400530679328932,0.18094464457031423,2.9449444617925797,-1.7,0.0,0.0981087998602957,-0.20713154908298492,-0.26981015342965137,0.8525329641065634,0.11889275754028628,-0.4503330969990569,False,True,False,False,False,17.782276153564453,1138.9002685546875
