,TIMESTAMP,ROS_TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_T_STEER,S_RC_T_LV_X,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z,S_RCS_FLW,S_RCS_FRW,S_RCS_BLW,S_RCS_BRW,S_RCS_BL,S_RPW,S_REN
0,0.0,481395000000,402.3994839514545,119.07789878908071,2.8440445214708472,2.6787933959243526,0.5,401.99877678647306,111.34867086935411,2.8362334656232577,2.8294606068352026,2.511791439479335,0.1012841654397568,0.09992026490594016,-2.0683717147698024,-1.7,0.0,0.010627565010690124,-0.16794105178621646,-0.030777973169905763,0.08378116732134794,-0.04461683688422917,-0.39993419979757144,True,True,False,True,False,23.629045486450195,15649.736328125
1,0.009,481404000000,402.3994839514545,119.07789878908071,2.8440445214708472,2.6787933959243526,0.5,402.0016349675468,111.41821468472703,2.836289180653934,2.8281049769059057,2.511555915745097,0.10058809680037165,0.10105664868195631,-2.072488195975431,-1.7,0.0,0.006669754980563833,-0.16588152085895974,-0.036528373719959026,0.06050576038567462,0.00801532324304822,-0.43922180919283554,True,True,False,True,False,26.100404739379883,15649.9970703125
2,0.021,481416000000,402.3994839514545,119.07789878908071,2.8440445214708472,2.6787933959243526,0.5,401.9879341348604,111.4920013568862,2.836022107892016,2.826666640216643,2.5113868323258917,0.09925301923860275,0.10111281595992101,-2.0790963820833177,-1.7,0.0,-0.02531069258508369,-0.11753489359644789,-0.09261211727102855,0.2627361365697569,0.24808857445502977,-0.4771290736490488,False,True,False,True,False,15.25594425201416,15650.1494140625
3,0.03,481425000000,402.3994839514545,119.07789878908071,2.8440445214708472,2.6787933959243526,0.5,401.9709457651481,111.56453442765411,2.835690950587682,2.825252740201674,2.5114518269064785,0.09980607122955758,0.09782713670725303,-2.084794567732703,-1.7,0.0,-0.01142806954010997,-0.14157107945102013,-0.08852557958339898,0.049914352314609944,0.2621626798376792,-0.5629973799604766,True,True,False,True,False,51.38847351074219,15650.6630859375
4,0.039,481434000000,402.3994839514545,119.07789878908071,2.8440445214708472,2.6787933959243526,0.5,401.9469947555995,111.63993971888924,2.835224069309932,2.8237828514836405,2.512662786012726,0.10225127697995164,0.09255008499860026,-2.0926633707499223,-1.7,0.0,-0.05111011419818311,-0.11951522097632164,-0.046059607891686054,-0.079995999052862,0.32297611826194966,-0.5125095441223716,True,False,False,True,False,13.842483520507812,15650.8017578125
5,0.051,481446000000,402.3994839514545,119.07789878908071,2.8440445214708472,2.6787933959243526,0.5,401.92700237796356,111.73547208175152,2.834834354346269,2.8219206221880793,2.512355673639163,0.10388935674274972,0.08677819641759951,-2.099052738441825,-1.7,0.0,-0.023769810369918827,-0.16619919846110004,-0.09530983419343744,-0.449274588082071,0.125100191035885,-0.4967996565308872,True,False,False,False,False,0.36790457367897034,15650.8056640625
6,0.06,481455000000,402.3994839514545,119.07789878908071,2.8440445214708472,2.6787933959243526,0.5,401.9204326847849,111.82142979851965,2.8347062901517517,2.8202450331672586,2.5112590342603536,0.1069197150027025,0.08144252981647072,-2.1034995162537418,-1.7,0.0,-0.013452320866662862,-0.18402616297387217,-0.15043658101580556,-0.6763031479123285,0.006438167929368337,-0.5160463202903579,True,False,False,False,False,0.3157457709312439,15650.80859375
7,0.069,481464000000,402.3994839514545,119.07789878908071,2.8440445214708472,2.6787933959243526,0.5,401.9038212730199,111.90936492534206,2.8343824809555542,2.8185308981414803,2.5098952549308455,0.10947371305776721,0.07423066164926713,-2.1078980273137256,-1.7,0.0,-0.056781233570668666,-0.1824976604985669,-0.157218504280979,-0.7925502013551736,0.3658064812936368,-0.4747975685606725,True,True,False,False,False,28.703073501586914,15651.095703125
8,0.081,481476000000,402.3994839514545,119.07789878908071,2.8440445214708472,2.6787933959243526,0.5,401.8542172126285,112.02084909049556,2.8334155402071834,2.8163577175341996,2.507566683822264,0.10875293207091698,0.06225865916322457,-2.113429751698984,-1.7,0.0,-0.10175909084988999,-0.17083842855077613,-0.230655670254042,-0.7578491214742709,0.7130898484762763,-0.46083224178277266,False,True,False,False,False,11.2909574508667,15651.208984375
9,0.09,481485000000,402.3994839514545,119.07789878908071,2.8440445214708472,2.6787933959243526,0.5,401.82496490462546,112.08597975612786,2.832845319778275,2.8150881139156363,2.5061021146645954,0.10885334389234,0.055590475920988064,-2.1173193100454673,-1.7,0.0,-0.03267356462855537,-0.11760472960980362,-0.10210684139755677,-0.5462741103707314,0.1038886803681041,-0.4212185508817196,False,True,True,False,False,33.37813186645508,15651.54296875
