,TIMESTAMP,ROS_TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_T_STEER,S_RC_T_LV_X,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z,S_RCS_FLW,S_RCS_FRW,S_RCS_BLW,S_RCS_BRW,S_RCS_BL,S_RPW,S_REN
0,0.0,1014000000,23.091998177307222,385.64743020175064,-4.5498635832883583,-2.5174937661159968,0.5,23.32793830693011,385.9075593676086,-4.545264360488692,-2.5225645100898357,0.45932245584809483,-0.025802668773982355,0.1263569004850109,1.465912777644769,-1.7,0.0,-0.003114907686090061,-0.0015259478561837213,-0.013578313822759163,-0.0053862334251220416,0.031051900648366736,-0.010149803903309778,True,True,True,True,False,0.0,0.006068175658583641
1,0.012,1026000000,23.091998177307222,385.64743020175064,-4.5498635832883583,-2.5174937661159968,0.5,23.329483650069417,385.8962214034613,-4.545234236840752,-2.522343497143496,0.4593424960519752,-0.026199369220117594,0.125902569820968,1.461896948141652,-1.7,0.0,0.004266551222036431,0.015557860832371396,-0.018037111136004015,0.0026275788586799798,0.00981683222519774,-0.35804434870573176,True,True,True,True,False,48.26133346557617,0.48868149518966675
2,0.021,1035000000,23.091998177307222,385.64743020175064,-4.5498635832883583,-2.5174937661159968,0.5,23.337058613776463,385.8800058537467,-4.545086576729504,-2.5220274045564657,0.4593041427309236,-0.026370599481948642,0.12555857176467333,1.4572996748554405,-1.7,0.0,0.019481648201840538,0.030913623575951066,-0.016323573821537006,0.004138164482424128,0.0025566638124960538,-0.5161298342458442,True,True,True,True,False,51.36532211303711,1.002334713935852
3,0.03,1044000000,23.091998177307222,385.64743020175064,-4.5498635832883583,-2.5174937661159968,0.5,23.35121521541365,385.8576893603482,-4.54481061958258,-2.521592385191973,0.4592797415345732,-0.026351879876986794,0.12539969682346713,1.4514577014771157,-1.7,0.0,0.03715972320762384,0.048551554469590426,-0.01567281345680139,0.0015241245667776786,0.0053764246762979025,-0.6689359405594779,True,True,True,True,False,51.10966873168945,1.513431429862976
4,0.042,1056000000,23.091998177307222,385.64743020175064,-4.5498635832883583,-2.5174937661159968,0.5,23.38051413479002,385.8226929644976,-4.544239490549902,-2.520910194239719,0.4592703608987725,-0.026270050175565652,0.12553183665003437,1.4420833587653572,-1.7,0.0,0.0539770149913804,0.05895851467596873,-0.015208443410126659,-0.022453376066122153,0.013486216571863236,-0.8219066705379328,True,True,True,True,False,39.6624755859375,1.9100561141967773
5,0.051,1065000000,23.091998177307222,385.64743020175064,-4.5498635832883583,-2.5174937661159968,0.5,23.40071806198521,385.7989886884245,-4.543845651813154,-2.520448122581374,0.45922152841714514,-0.02642492341860912,0.12540878775120476,1.4343957621190475,-1.7,0.0,0.042652363373928574,0.04447772434077935,-0.02193889206103854,-0.0047718674056606986,-0.016011072360291662,-0.8482699135032665,True,True,False,True,False,31.560239791870117,2.225658416748047
6,0.06,1074000000,23.091998177307222,385.64743020175064,-4.5498635832883583,-2.5174937661159968,0.5,23.415411630722236,385.7873951841532,-4.5435592274713015,-2.5202221283460657,0.45890310698679126,-0.025964561422804264,0.12605171013008462,1.4270255453262513,-1.7,0.0,0.05897732343594348,0.008175610078794103,-0.05480366357585529,-0.14449403920949314,-0.06338702445087399,-0.8319038749756323,False,False,False,True,False,11.761373519897461,2.3432722091674805
7,0.072,1086000000,23.091998177307222,385.64743020175064,-4.5498635832883583,-2.5174937661159968,0.5,23.440164248518723,385.7747986866366,-4.543076720301779,-2.519976582585509,0.4584260246120022,-0.02569937487891569,0.1271406070492801,1.4172416599090671,-1.7,0.0,0.05262649991006895,0.018431059424500473,-0.025819512962763788,-0.11425016869395335,-0.02085401801394638,-0.773174845255784,True,False,False,True,False,53.68561935424805,2.8801283836364746
8,0.081,1095000000,23.091998177307222,385.64743020175064,-4.5498635832883583,-2.5174937661159968,0.5,23.465488260689796,385.76171236361785,-4.542583074840355,-2.5197214885695485,0.4582407990985773,-0.02616648077355968,0.12792091006234269,1.41061593805987,-1.7,0.0,0.05468049081784815,0.036868383095563034,-0.021158441647061915,-0.07139161254543305,-0.04011360306817792,-0.7020858841137486,True,False,False,True,False,40.85313415527344,3.2886598110198975
9,0.09,1104000000,23.091998177307222,385.64743020175064,-4.5498635832883583,-2.5174937661159968,0.5,23.514183538446208,385.72148123532696,-4.541633849153095,-2.5189372560492584,0.45871080094056227,-0.03104142612449284,0.12464157876854651,1.4047043235872922,-1.7,0.0,0.01386180695886689,0.033484552846659896,-0.01385172373646512,-0.019571838407652725,0.0006533220020927266,-0.7500801965232511,True,True,True,True,False,61.63455581665039,3.90500545501709
