,TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.0,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,417.04795035,428.113930882,3.12958967545,-3.34530079693,0.0,-0.144093814172,-0.130223835571,1.08351799551,0.0,-0.31368863554,-0.00756016266934,0.0,0.0,0.0,-0.931580894294
1,0.02,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,416.943679368,428.226547395,3.12755710269,-3.34749605059,0.0,-0.157899826978,-0.107345738626,1.07542765451,0.0,-0.290938849013,0.074423420853,0.0,0.0,0.0,-0.969108363253
2,0.05,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,416.83641881,428.339846265,3.1254662536,-3.34970460555,0.0,-0.171782379894,-0.0845296558351,1.06704236493,0.0,-0.295571703868,0.0785584821753,0.0,0.0,0.0,-0.971529171088
3,0.07,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,416.726392989,428.453517524,3.12332150077,-3.35192041957,0.0,-0.185784531632,-0.0617811134188,1.05837731606,0.0,-0.299342136937,0.0804369140235,0.0,0.0,0.0,-0.968862688458
4,0.08,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,416.61359108,428.567290987,3.12112263314,-3.35413822586,0.0,-0.199916019119,-0.0391071196526,1.04942728684,0.0,-0.30274267122,0.0824473329089,0.0,0.0,0.0,-0.96627101448
5,0.09,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,416.498009016,428.680913944,3.11886957145,-3.35635309832,0.0,-0.214187484616,-0.0165143795344,1.04018632873,0.0,-0.305805321392,0.0845675207789,0.0,0.0,0.0,-0.963791375387
6,0.1,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,416.379648284,428.794147571,3.11656234472,-3.3585603815,0.0,-0.22861032306,0.00599055183534,1.03064779739,0.0,-0.308556728575,0.0867802228462,0.0,0.0,0.0,-0.961450290487
7,0.12,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,416.117398663,428.653703126,3.11145026633,-3.35582267302,0.0,-0.20904416675,0.00654594255762,1.025602415,0.0,-0.0301301219845,0.580080431936,0.0,0.0,0.0,-0.516507452457
8,0.14,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,415.860147908,428.515489829,3.10643563174,-3.35312845671,0.0,-0.18979526506,0.00705764806359,1.02033590002,0.0,-0.0318040679442,0.569039438516,0.0,0.0,0.0,-0.539745821422
9,0.15,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,415.602939003,428.375824812,3.10142181292,-3.35040594175,0.0,-0.170549784633,0.00761166353744,1.0150855757,0.0,-0.0323375578314,0.570218835456,0.0,0.0,0.0,-0.539149945035
10,0.16,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,415.006940879,428.068014601,3.08980391576,-3.34440574272,0.0,-0.112652098919,-0.00314424978512,1.03131317477,0.0,-0.0363229836378,0.843354288222,0.0,0.0,0.0,0.239249230834
11,0.16,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,414.927866205,427.920983146,3.08826249913,-3.34153963248,0.0,-0.10520124183,-0.0221598745656,1.0307232792,0.0,0.167019264751,0.280088642073,0.0,0.0,0.0,-0.0470933122834
12,0.17,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,414.85377107,427.774574273,3.08681814951,-3.33868565835,0.0,-0.0979952574442,-0.0412487601233,1.02996546714,0.0,0.170358719225,0.270677946044,0.0,0.0,0.0,-0.0529378135818
13,0.18,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,415.193452844,427.627695273,3.09343962658,-3.33582251994,0.0,-0.137807122185,-0.0903022362055,1.03125450513,0.0,0.318122277042,-0.122507449873,0.0,0.0,0.0,-0.443272194454
14,0.2,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,415.327844081,427.519776386,3.09605933882,-3.33371883792,0.0,-0.161394212315,-0.119852165288,1.02933847482,0.0,0.312681901608,-0.115823696027,0.0,0.0,0.0,-0.439032791314
15,0.21,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,415.218661328,427.456422094,3.09393102005,-3.33248386148,0.0,-0.154456160888,-0.127372241621,1.02803981289,0.0,-0.00429500435907,0.246278533956,0.0,0.0,0.0,-0.0442458262115
16,0.23,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,415.116607767,427.393255156,3.09194167187,-3.33125253716,0.0,-0.14791968918,-0.135105394777,1.0267254749,0.0,0.00240363975643,0.233914921728,0.0,0.0,0.0,-0.0458950183677
17,0.24,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,415.014470084,427.329958485,3.0899506839,-3.33001868393,0.0,-0.141363137204,-0.142836774688,1.02535690538,0.0,0.00220793886171,0.234183569125,0.0,0.0,0.0,-0.0460318487192
18,0.24,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,414.912301841,427.266565269,3.08795910021,-3.32878294871,0.0,-0.134789040889,-0.150566577964,1.02393405031,0.0,0.00199775434277,0.234329355042,0.0,0.0,0.0,-0.0461869155426
19,0.25,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,414.810146184,427.203103809,3.08596776187,-3.32754588322,0.0,-0.128199249315,-0.1582949001,1.02245678457,0.0,0.00177111245999,0.234374539639,0.0,0.0,0.0,-0.0463628422499
20,0.26,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,414.821325433,427.208894006,3.08618568096,-3.32765875256,0.0,-0.139645031467,-0.161184005788,1.02728601122,0.0,0.00179007909628,-0.0243246594764,0.0,0.0,0.0,0.300807579155
21,0.27,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,414.830794582,427.140067163,3.08637026476,-3.32631709869,0.0,-0.138126554556,-0.161550552999,1.02819063381,0.0,0.124438330963,0.0534894917248,0.0,0.0,0.0,0.114838126858
22,0.29,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,414.855145552,427.072576782,3.08684494253,-3.32500149672,0.0,-0.136589952993,-0.161318452336,1.02893414191,0.0,0.137166628669,0.0272005052144,0.0,0.0,0.0,0.0990612730264
23,0.29,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,414.892955225,427.011647476,3.0875819732,-3.32381379096,0.0,-0.136386065513,-0.160061141575,1.0292445774,0.0,0.139751511952,-0.00193695998441,0.0,0.0,0.0,0.034294421793
24,0.3,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,414.932914079,426.955758603,3.08836089822,-3.32272433923,0.0,-0.136461899695,-0.156729964845,1.02915701891,0.0,0.133473564374,-0.0105697656625,0.0,0.0,0.0,-0.00995962120676
25,0.31,414.994320412,422.831857473,3.08955790276,-3.24233640298,0.5,414.973478043,426.902096059,3.08915161877,-3.32167828575,0.0,-0.136466064424,-0.151261432219,1.02873821022,0.0,0.130341639286,-0.0137437026418,0.0,0.0,0.0,-0.0419498702468
